,A,date,C,D,content
0,699248905838534656,2016-02-15 15:08:25,1,0,Taller de Graffiti realizado por el programa de Responsabilidad Adolescente PSA Ciudad del Niño-Cautín https://t.co/8ftaiKSVIN
1,698251563035422721,2016-02-12 21:05:20,1,4,"Todos hemos tenido pesadillas, pero es a los niños a quienes más afectan. ¿Cómo afrontarlas? https://t.co/vs0l9IHVOu https://t.co/YBVHEbXjAG"
2,698154499064602627,2016-02-12 14:39:38,0,1,@ciudaddelninocl se adjudicó la ejecución del “Estudio Cualitativo sobre Trabajo Infantil en el Sector Comercio https://t.co/9CTpw2ohm8
3,697881685371785220,2016-02-11 20:35:34,0,3,RT @prmcastro: @prmcastro nos sumamos a #tareapendiente @NO_MAS_ABUSOS_ @nopreguntenmas @Sename_X @sename_gobierno @ciudaddelninocl https:/…
4,697881474943557632,2016-02-11 20:34:44,0,1,¡La inocencia de los niños! Mira la reacción de un bebé al no poder distinguir a su papá de su hermano gemelo.  https://t.co/DaNHhOndMh
5,697787480888762368,2016-02-11 14:21:14,0,2,"PIB Ciudad del Niño-Río Bueno, recibió la visita del Seremi de Justicia de la Región de Los Ríos, Alejandro Reyes https://t.co/1JMUY0edC8"
6,697526752978018304,2016-02-10 21:05:11,0,0,"El buen humor es importante en el desarrollo de los niños, pues les ayuda a enfrentar adversidades en el futuro.  https://t.co/6m4dVJxkgq"
7,697425503842648064,2016-02-10 14:22:52,1,1,Jóvenes de PSA Puerto Montt y Puerto Varas aprendieron kayak y trekking en el Lago Llanquihue y Parque Katalapi https://t.co/xk3uT9Cuem
8,697154861759098880,2016-02-09 20:27:26,1,1,"""El niño que no juega no es niño, pero el hombre que no juega perdió para siempre al niño que vivía en él"" .Neruda https://t.co/bfcsYhclh3"
9,697067055313453060,2016-02-09 14:38:31,0,1,"Los niños y jóvenes de la Residencia @ciudaddelninocl -Cauquenes, asistieron a una tradicional trilla de Pelluhue https://t.co/8p6QsGPl0Z"
10,696800768301645824,2016-02-08 21:00:23,0,0,"Según estudios, comer en familia tiene grandes beneficios para niñ@s, adolescentes y adultos https://t.co/nKM1PDXyvU https://t.co/iMbdqtAT9M"
11,696726962912567297,2016-02-08 16:07:07,0,1,"Niñ@s y adolescentes del  PPF @ciudaddelninocl- Los Lagos, realizó un paseo a la hermosa Reserva Huilo Huilo https://t.co/4sHhzwENDz"
12,695714860533940224,2016-02-05 21:05:23,0,1,PPF @ciudaddelninocl - Futrono realizó en el #LagoRanco actividades para desarrollar habilidades de comunicación https://t.co/7N445gdxAZ
13,695354991125536769,2016-02-04 21:15:23,1,0,"Una mascota enseñará a tu hijo a entretenerse, cuidar a otro y a interpretar sus emociones. https://t.co/mq9D3rXykO https://t.co/giOrAqaP3V"
14,695253307129008128,2016-02-04 14:31:20,0,1,"Jóvenes del programa PRM @ciudaddelninocl Yumbel participaron en el Taller de Género, donde trataron varios temas. https://t.co/T33zkmm6YS"
15,694996736666943488,2016-02-03 21:31:49,1,0,"“El amor es para el niño como el sol para las flores; necesita caricias para ser bueno”.//C. Arenal, escritora. https://t.co/ZAgKnsfkij"
16,694961533990862848,2016-02-03 19:11:56,0,0,Ojo con las estadísticas! A combatir la violencia contra los niños!  https://t.co/u3SURL1Qih
17,694902768650342400,2016-02-03 15:18:25,0,1,Niños y jóvenes de la Residencia Cauquenes @ciudaddelninocl han disfrutado de sus vacaciones en la playa de Pelluhue https://t.co/qtXqqgUO41
18,694559668224405504,2016-02-02 16:35:03,0,0,"Con mucha pena comunicamos el fallecimiento de la Sra. Eliana Ortega, gran colaboradora de la Fundación.No olvidaremos su incansable entrega"
19,694159578641096704,2016-02-01 14:05:15,0,0,"""El Regalo”, una emocionante lección de vida que nos hace reflexionar...   https://t.co/ATVXuwIBD4"
20,693079627716300800,2016-01-29 14:33:54,0,0,"El equipo PRM @ciudaddelninocl -Yumbel, participó en la misaque aludió a la protección a la infancia. https://t.co/JKygxVvVXw"
21,692815718463729666,2016-01-28 21:05:13,0,0,"Si crees que tu hijo adolescente ya no quiere tus abrazos, te equivocas… los necesita aunque no los pida. https://t.co/sGOGWsAfU6"
22,692722864596848640,2016-01-28 14:56:15,0,0,"Como actividad de verano, niñ@s del PPF @ciudaddelninocl Futrono, participaron en un taller de manualidades https://t.co/sM9e6a6mEI"
23,692457119187079170,2016-01-27 21:20:17,0,0,Encuesta del Reino Unido reveló que niños pasan más horas al día en la red que mirando TV. https://t.co/tuCvJvlnqR https://t.co/ehuqoXITIz
24,692385987150888967,2016-01-27 16:37:37,0,0,Niños y jóvenes de la Residencia-Cauquenes disfrutan las vacaciones y capean las altas temperaturas en la piscina.. https://t.co/4OAuQ9FK6N
25,692108574579892225,2016-01-26 22:15:17,1,0,"Lucas es un surfista decidido a superar todo tipo de obstáculos, incluyendo su ceguera…¡Un ejemplo para todos! https://t.co/ySCCSZErch"
26,692036322568044544,2016-01-26 17:28:11,1,0,Editorial Chirimbote donó libros infantiles de su  colección “Antiprincesas” a PPF @ciudaddelninocl San Antonio https://t.co/14ay0Y1HOy
27,692028874524356608,2016-01-26 16:58:35,0,4,"RT @FocoSocial_cl: Bloque por la Infancia emplaza al Gobierno a ""honrar los compromisos"" https://t.co/94KBsQ9mid @bloqueporlainfa https://t…"
28,691729824889577473,2016-01-25 21:10:16,0,0,"K. Satyarthi, Nobel de la Paz '14:  ""Deben denunciarse los abusos que sufren 168 millones de niños en el mundo"".  https://t.co/ky89H2ypPX"
29,691716571039961089,2016-01-25 20:17:36,0,4,RT @prmcastro: En la inauguración de la OPD de Quellón @Sename_X presente @ciudaddelninocl https://t.co/EW8cQ6JPrd
30,691647621987987456,2016-01-25 15:43:37,1,0,Cierre de Taller Chocolatería 2016 del programa de Responsabilidad Adolescente PLA @ciudaddelninocl-Puerto Montt. https://t.co/OwOAKpTIQh
31,690642658725863424,2016-01-22 21:10:16,0,0,"Vocación, entrega y carácter humano en el trabajo con la infancia, son elementos relevantes para @fciudaddelninocl ,https://t.co/2yDWTzjvHX"
32,690535018494558208,2016-01-22 14:02:32,0,0,Dos recién nacidos prematuros  se toman de la mano mientras toman una siesta en el pecho de su padre. https://t.co/4JOjr1VexD
33,690277802202001409,2016-01-21 21:00:27,1,0,"“He llegado por fin a lo que quería ser de mayor: un Niño”. Joseph Heller, escritor inglés. https://t.co/dV853gP1wO"
34,690239752608575488,2016-01-21 18:29:15,0,44,"RT @unicef_es: Alto el fuego, ayuda humanitaria y paz es lo que pedimos 120 ONG para acabar con el sufrimiento de los #niñosdeSiria https:/…"
35,690179658634149888,2016-01-21 14:30:28,0,0,Varias playas de Chile ofrecerán préstamo gratuito de títulos para fomentar la lectura. https://t.co/Ph5zDQVjm8 https://t.co/jsaBjRUnYn
36,689915514328596480,2016-01-20 21:00:51,2,0,Mafalda y los derechos de los Niñ@s https://t.co/bG6CtRCHIS
37,689855290829881346,2016-01-20 17:01:32,0,1,"La mentira infantil, ¿por qué miente mi hijo? Interesante columna sobre educación: https://t.co/jgT0Y1czST https://t.co/9SdsXR9Vm4"
38,689785570726408192,2016-01-20 12:24:30,0,0,Mejoras realizadas gracias a un proyecto de emergencia financiado por Sename. https://t.co/XJbWRse115
39,689510347443736576,2016-01-19 18:10:51,1,1,"“La niñez es la etapa en que todos los hombres son creadores”.  Juana de Ibarbourou, poeta uruguaya. https://t.co/Wkopm5to34"
40,689115060686446592,2016-01-18 16:00:08,0,0,Profesionales del PPF @ciudaddelninocl-SAI promovieron el buen trato y la recreación en playa Marbella (Sto Domingo) https://t.co/l5ewcDJ566
41,688045366919479296,2016-01-15 17:09:33,0,0,"Niñ@s y familias del programa  PPF @ciudaddelninocl -Nancagua, disfrutaron de una divertida jornada de manualidades. https://t.co/c11vpAp5Oy"
42,687747195936849923,2016-01-14 21:24:43,0,0,Psicóloga N. Milicic analiza la película  “El Principito” -adaptación de la clásica novela  https://t.co/LDPjL5tK6b https://t.co/pIv6byYvF4
43,687717797649084417,2016-01-14 19:27:54,0,3,"RT @prmcastro: Hoy, con un hermoso día en Quellón, cambiando de casa para instalar los nuevos proyectos: PPF @ciudaddelninocl y PRM Quellón…"
44,687636679671287809,2016-01-14 14:05:34,0,0,En 24 hrs. mamá contó 44 veces en que su hija sufría una pataleta y escribió cada motivo.  https://t.co/sqyHxROAj4 https://t.co/x14FDHM8iz
45,687315706384379904,2016-01-13 16:50:08,0,0,"Directores(as) y secretarias de programas @ciudaddelninocl, participan en una semana de inducción. https://t.co/G0adXpe5H2"
46,687048986033811456,2016-01-12 23:10:17,0,0,“La infancia tiene sus propias maneras de ver y sentir”. (Rousseau) https://t.co/YWSZ4mBsVD
47,686615169829584896,2016-01-11 18:26:27,0,0,"Con taller de @panchoara, adolescentes del programa PIE @ciudaddelninocl- San Pedro, componen sus propias canciones. https://t.co/Erhj0OMGj3"
48,685479500726071296,2016-01-08 15:13:43,0,0,"Estudio muestra que los ""garabatos"" de los niñ@s son un paso evolutivo hacia la lectura,  https://t.co/wlkDTo6klP https://t.co/tZ704dej5d"
49,685191741973098496,2016-01-07 20:10:16,0,1,@bloqueporlainfa rechaza discusión “express”  de Ley sobre Garantías de Derechos. https://t.co/F5b3uqWixr https://t.co/HPTIe8IuSe
50,684842722956591104,2016-01-06 21:03:23,0,0,El compañerismo es uno de los valores que destacan los profesionales de Fundación Ciudad del Niño. https://t.co/ubPGpU8mug
51,684756866178641920,2016-01-06 15:22:13,0,0,"El Viejito Pascuero finalmente llegó a la Residencia @ciudaddelninocl -Cauquenes, compartiendo una entretenida tarde https://t.co/PMvtZvBh93"
52,684726271889305600,2016-01-06 13:20:39,0,2,RT @Sename_II: Conoce el decálogo sobre los #DerechosdelNiño y ayúdanos a construir un #ChileSinMaltratoInfantil https://t.co/kFVY9ACA6H
53,684436177949167616,2016-01-05 18:07:55,0,1,Conoce algunas técnicas para educar sin castigar. #Educaciónpositiva https://t.co/MeULnvePiT https://t.co/eKpeQFOhic
54,684119698296979458,2016-01-04 21:10:21,0,0,"Crean app. que traduce el llanto de las guaguas: hambre, sueño, dolor y pañales sucios.   https://t.co/L7XNmLNjSY https://t.co/BwRdUkzT5X"
55,684036355677122560,2016-01-04 15:39:10,0,0,Vacaciones: el riesgo de olvidar todo lo aprendido en el año [Leer más] https://t.co/H8NW8MmFjn https://t.co/BMvsdsubXq
56,682612252554452993,2015-12-31 17:20:17,0,0,"@ciudaddelninocl desea a todos sus  amigos, que tengan un muy buen año 2016. ¡Un afectuoso abrazo! https://t.co/CWKT37X9ZT"
57,682292694778048517,2015-12-30 20:10:29,0,0,"El Programa SBC @ciudaddelninocl Malleco, expuso artículos creados por adolescentes mientras cumplen su sanción https://t.co/RmZg4Louug"
58,682202116107153409,2015-12-30 14:10:33,0,0,"Felicitamos a @turbuschile con quien desarrollamos una alianza, por  la publicación del libro “Cuento Kilómetros”. https://t.co/6IxhNGnEKA"
59,681839876241813507,2015-12-29 14:11:09,1,0,"El PRM @ciudaddelninocl Independencia, recibió la donación de implementos deportivos realizada por Unión Española. https://t.co/QdPwVxdY6S"
60,681514823683801088,2015-12-28 16:39:30,0,0,The Wall Street Journal: ¿Debo dejar que mi hijo gane en Metrópolis? [Leer más] https://t.co/1qB3q8IpGP https://t.co/z8prHUGu18
61,681483051810078721,2015-12-28 14:33:15,2,1,Derechos de niñ@s en mapudungún- Pu püchikeche ñi az-zungu. 9: Tengo derecho a ser protegido. Gentileza: Kimeltuwe https://t.co/NQFBjRM0QX
62,680044045582884865,2015-12-24 15:15:09,1,0,"Una Navidad llena de paz y unión deseamos a todos los amigos, niñ@s, adolescentes y familias de @ciudaddelninocl https://t.co/PX4xaFPqR8"
63,680025662602776576,2015-12-24 14:02:06,0,0,Hola @tavetikian nos gustaría contactarnos contigo. Podrías seguirnos y enviarnos por DM un mail para poder tratar un par de temas? Gracias!
64,680023353768439808,2015-12-24 13:52:56,0,0,@cristianwarnken Hola Cristian. Nos gustaría contactarnos contigo. Puedes seguirnos para enviarte un mensaje directo? Muchas gracias
65,679758449245306880,2015-12-23 20:20:18,1,0,"Un día de aventuras vivieron los niñ@s del PPF @ciudaddelninocl -Curicó, que visitaron el Parque Safari de Rancagua. https://t.co/6mdk1tCjHn"
66,679677847070457856,2015-12-23 15:00:01,1,0,"Con la colaboración del PRM Ciudad del Niño-Castro, se realizó el segundo seminario provincial ""¡No enmudecer!"" https://t.co/y7j4t1A3cG"
67,679393509183483904,2015-12-22 20:10:09,1,1,Egreso de jóvenes del Programa de Responsabilidad Adolescente PSA Ciudad del Niño-Puerto Varas y Puerto Montt https://t.co/ImF5cYXzeO
68,679380968914993152,2015-12-22 19:20:19,0,1,[Blog] Hermanos víctimas directas de abuso sexual intrafamiliar (*). Reflexión desde la práctica clínica  https://t.co/sjY0EDmx7H
69,679334071596679168,2015-12-22 16:13:58,2,1,"El Programa de Prevención Focalizada (PPF) Ciudad del Niño-Nancagua Placilla, inauguró su nueva sede. https://t.co/itQduumufj"
70,679287894670995456,2015-12-22 13:10:29,1,0,"@ciudaddelnino Nancagua Placilla, inauguró su nueva sede y contó con la presencia de la Dir. Reg. de @Sename https://t.co/r2842l62gS"
71,679053795834359808,2015-12-21 21:40:15,2,2,"La Residencia Ciudad del Niño-Cauquenes, participó entusiastamente en la corrida familiar “5k Helia”. https://t.co/pW1BZ0ROXl"
72,678992181370208258,2015-12-21 17:35:25,0,1,"RT @prmcastro: Hoy en @estrellachiloe, extenso reportaje sobre seminario #Noenmudecer @sename_gobierno @Sename_X @ciudaddelninocl https://t…"
73,678989195608764416,2015-12-21 17:23:33,1,1,@ciudaddelninocl asistió a presentación de libro “Violencia sexual contra la infancia (...)”. https://t.co/teeE17veMO
74,677974194626367489,2015-12-18 22:10:18,2,1,El programa de Prevención Focalizada PPF San Antonio  de @ciudaddelninocl celebró la  “Navidad con sentido” https://t.co/XECyyFErMN
75,677911189133893632,2015-12-18 17:59:57,0,1,"Presidente de @ciudaddelninocl instó a autoridades a introducir cambios a proyecto de “Gtías de los Dºs de la Niñez"" https://t.co/q9NwIWR68y"
76,677632176658214914,2015-12-17 23:31:15,4,8,@bloqueporlainfa propone cambios al proyecto de ley sobre Garantías de Derechos del Niño.  https://t.co/2L2RPiVxsP https://t.co/493UO2IJ1W
77,677203031247749125,2015-12-16 19:05:59,2,1,"Mañana será el lanzamiento del libro""Violencia sexual contra la Infancia, el avance legislativo y sus desafíos"". https://t.co/lLPbeWF2wx"
78,677173160589074433,2015-12-16 17:07:17,0,0,“Cuidando mi bienestar”/ operativo de salud de los programas de Protección de Derechos de Talagante e Isla de Maipo https://t.co/9YUTSh5VJO
79,677149670255280129,2015-12-16 15:33:56,0,9,RT @sename_gobierno: Dir. @marcelalabrana recorre H. Sótero del Río entregando a familias adornos con derechos del niñ@ #RegalaDerechos htt…
80,677128669685522432,2015-12-16 14:10:29,0,1,RT @prmcastro: @prmcastro invita a 2° seminario #noenmudecer organizado por @estrellachiloe y co organizado por @ciudaddelninocl https://t.…
81,676910961798864897,2015-12-15 23:45:24,0,0,@FundacionTef reconoció a profesionales del Programa de Erradicación  del Trabajo Infantil (ETI) de @ciudaddelninocl https://t.co/tb8gefsMy8
82,676800219124748288,2015-12-15 16:25:21,1,1,"Con la colaboración del PRM Ciudad del Niño-Castro, se realizará en Chiloé el 2º seminario provincial ¡No Enmudecer!.https://t.co/w0RVzKrmWu"
83,676514689459818496,2015-12-14 21:30:45,0,1,"Programa de Protección de Derechos de@ciudaddelninocl participó en la feria ""Yumbel crece contigo"". https://t.co/fBw8wYiVyJ"
84,676475351850196992,2015-12-14 18:54:26,0,3,RT @prmcastro: @sename_gobierno @Sename_X @NO_MAS_ABUSOS_ @ciudaddelninocl @VinkaJackson @MundodelosASI @FiscaliadeChile https://t.co/tmTMN…
85,676465799415144449,2015-12-14 18:16:29,1,1,Ciudad del Niño fue reconocida como uno de los “Mejores Lugares para Trabajar en Chile” https://t.co/KglTZEexSl https://t.co/yLpEenk5yO
86,662325844233330688,2015-11-05 17:49:21,0,0,"Nuestra Fundación lanzó el Programa de Intermediación Laboral, (PIL) Valdivia... https://t.co/LxjWj770sf https://t.co/qs7r7neMjN"
87,662289710333693956,2015-11-05 15:25:46,0,1,"PIB Río Bueno, realizó el encuentro “Tradiciones del Ranco”... https://t.co/e2Q1PqlEJy https://t.co/EgPzTp4REB"
88,662289331185405953,2015-11-05 15:24:15,0,0,"Encantados con la Copa Mundial Sub17, niños y adolescentes del PIE-Puerto Montt...  https://t.co/XauDRx2eVL https://t.co/UAzdNxnxjq"
89,662288837738168327,2015-11-05 15:22:18,0,0,"“Pinta tus derechos en primavera”, actividad organizada por PRM Puerto Montt... https://t.co/rcuKZPX1mN https://t.co/Vgyvhd7umF"
90,660094126562615297,2015-10-30 14:01:18,1,1,"[Blog] Los 'agallados' se ven en la cancha  PRM Castro, comparte una positiva experiencia... https://t.co/11SjLdNbpi https://t.co/bfugjHffrK"
91,660093292827303936,2015-10-30 13:57:59,0,1,RT @Soc_Anonima: @ciudaddelninocl y Tur Bus firman alianza para los niños en situación de vulnerabilidad http://t.co/ZEXswrqfc7 http://t.co…
92,660093162942275585,2015-10-30 13:57:28,0,2,RT @FTelefonica_CL: Gracias al Colegio Humberto Acosta de #ElMonte y a @ciudaddelninocl por todo el trabajo.  #noaltrabajoinfantil https://…
93,660092050344382465,2015-10-30 13:53:03,0,0,@robertoampuero Estimado señor Ampuero: necesitamos escribirle. ¿Nos puede indicar su correo? el nuestro: contacto@ciudaddelnino.cl Gracias
94,651464315053207552,2015-10-06 18:29:30,1,1,"""Ciclo Debates sobre Infancia y Adolescencia abordó sistema de justicia juvenil"" http://t.co/Qit6YTiQOM @Clausocio http://t.co/VLqCpfZ3Hw"
95,641323210575847424,2015-09-08 18:52:23,0,2,RT @SA_LaSegunda: Fundación @ciudaddelninocl cierra mes de la Infancia con celebración en centro de Santiago http://t.co/xSQigGEDP2 http://…
96,641323148038807552,2015-09-08 18:52:08,0,3,RT @dsocial_gob: Ministro Marcos Barraza recibe en audiencia a representantes de @ciudaddelninocl http://t.co/nXF7joAWma
97,637294996912230401,2015-08-28 16:05:42,0,0,"Jacques Dionne, se reunió con equipos de Justicia Juvenil del Ministerio de Justicia y Senda. https://t.co/oHtXDh3csS http://t.co/xNm69AjYwz"
98,636915138424111104,2015-08-27 14:56:16,3,2,Jacques Dionne: ““En un Sistema de Protección a la infancia Eficacia y Derechos van a la par”  http://t.co/GP6ycBDlIC http://t.co/Ni6fniJOQn
99,636585140454576128,2015-08-26 17:04:59,0,0,Gracias a todos por su asistencia y compañía en este II Seminario Internacional de Infancia y Adolescencia. http://t.co/us116vsFbQ
100,636574482199658500,2015-08-26 16:22:38,2,1,La invitamos a revisar http://t.co/mnaeFp3fbD y seguir nuestro FB. Saludos. https://t.co/tAKHha6sXO
101,636573333576937472,2015-08-26 16:18:04,0,1,"""Arreglos institucionales en relación público-privada y ejercicio de Derechos"", María Pía Martin de MGPP de U. Chile http://t.co/qLy166nacX"
102,636572640992460800,2015-08-26 16:15:19,0,0,"María Teresa Sepúlveda, jefa Depto. Desarrollo, y Francisca Gómez, jefa Depto. Estudios de Fundación Ciudad del Niño. http://t.co/XS7nIz1s5F"
103,636569713301192704,2015-08-26 16:03:41,1,0,"Dante Contreras, Dr. Académico Depto. Economía U. de Chile, expone en Seminario de Fundación Ciudad del Niño. http://t.co/GYClyZZCoQ"
104,636568933148033024,2015-08-26 16:00:35,0,1,RT @isilvasc: Por qué invertir en desarrollo infantil temprano es fundamental. @ciudaddelninocl http://t.co/KhdszAhhZ1
105,636568790210359296,2015-08-26 16:00:01,0,1,"Panel 3: ""Articulación y rol de la Soc. Civil en el desarrollo de un sistema de garantías y protección de derechos"" http://t.co/wwWSrpnYxS"
106,636568728155619328,2015-08-26 15:59:46,0,3,"RT @Senda_gob: Construir culturas preventivas es responsabilidad de los adultos, debemos cuidar a nuestros niñ@s, Selva Careaga seminario @…"
107,636564676223045632,2015-08-26 15:43:40,0,1,RT @Senda_gob: Ahora: Selva Careaga jefe Área Prevención @Senda_gob expone en seminario @ciudaddelninocl http://t.co/AoLVhIEA12
108,636564449416097793,2015-08-26 15:42:46,0,3,"Selva Careaga, jefa área prevención @Senda_gob en Seminario Internacional sobre Infancia y Adolescencia. http://t.co/1I6ilOObki"
109,636561869478752256,2015-08-26 15:32:31,3,0,"Juan Carlos Valdivia, encargado área jurídica de @coninfanciacl expone sobre Ley de Garantía de Derechos. http://t.co/BQTz4ekZXH"
110,636561129142140928,2015-08-26 15:29:34,1,0,"Expone Macarena Cortés, Jefa Depto. Reinserción social juvenil del Ministerio de Justicia en nuestro Seminario. http://t.co/giqpOG0nKP"
111,636560298053365760,2015-08-26 15:26:16,1,0,"Jaime Gajardo, Fiscal Ministerio de Desarrollo Social, en Seminario Internacional de Fundación Ciudad del Niño. http://t.co/VKfLriS08L"
112,636558689483292672,2015-08-26 15:19:52,1,2,"Panel 2: ""Legislación y Políticas de Infancia en Chile: Estado actual y proyecciones"" en Seminario Internacional. http://t.co/uTvFC6rnQC"
113,636547364346576896,2015-08-26 14:34:52,1,0,"Cristián Altamirano, magíster en educación y sicología de la educación U. de Quebec. http://t.co/U9CP0yamc6"
114,636544401829924864,2015-08-26 14:23:06,1,0,"Francisco Maldonado, Doctor en Derecho, universidad Pablo de Olavide (Sevilla), en Seminario Internacional. http://t.co/NEsm2UobZx"
115,636544276063723520,2015-08-26 14:22:36,0,1,RT @AlburquenqueF: Muy interesante la exp en el trabajo con niños/as y jóvenes..Modelo Boscoville y eficacia en dism reincidencia delic htt…
116,636542356343386112,2015-08-26 14:14:58,0,0,"Diputado Felipe Kast, presente en Seminario ""Diálogo sobre infancia y adolescencia"" de Fundación Ciudad del Niño. http://t.co/lRtjNvXY2h"
117,636541118977560576,2015-08-26 14:10:03,0,1,RT @Proyecto_B: Participando del Seminario Desafíos de la Infancia y Adolescencia. Presentación de Jacques Dionne @ciudaddelninocl http://t…
118,636538953387110400,2015-08-26 14:01:27,0,1,"RT @PatronatoMH: Felicitaciones a @ciudaddelninocl por su gran seminario. Exposición de Jacques Dionne, sobre caso de Quebec Canadá http://…"
119,636538318944116736,2015-08-26 13:58:56,1,1,"Gran convocatoria del II Seminario ""Diálogos sobre infancia y adolescencia"" en Salón de Honor del ExCongreso Nacional http://t.co/2mWr5s8Q0O"
120,636531428071768064,2015-08-26 13:31:33,0,4,"RT @coninfanciacl: Estela Ortiz ""La familia debe contar c las condiciones nec p garantizar D d niñez y Estado debe apoyarlos p lograrlo"" ht…"
121,636531286119698432,2015-08-26 13:30:59,0,1,"Panel 1: ""Desarrollo Sistema de Garantías"", Jacques Dionne, Dr. en Psicología de Educación, Univ. de McGill, Canadá. http://t.co/enRMnlHzHb"
122,636529758122213376,2015-08-26 13:24:55,0,1,RT @pwalkerprensa: Pdte de Sen @patriciowalker encabeza seminario Dialogos sobre Infancia y Adolescencia organizado x @ciudaddelninocl http…
123,636528291130773504,2015-08-26 13:19:05,0,8,"RT @UnicefChile: Hai Kyung Jun: ""Chile dará un gran paso que requiere mantener un diálogo constructivo que no se distraiga en dilemas de la…"
124,636527025579278336,2015-08-26 13:14:03,2,0,"Estela Ortiz, Secretaria Ejecutiva de @coninfanciacl Seminario ""Diálogos Infancia y Adolescencia"" de Ciudad del Niño. http://t.co/sM3zIUuc9N"
